Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Hidden (product.metafields.seo.hidden),Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,CWS White Sox special Women’s History Month Limited Edition Jersey,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://beasky.net/wp-content/uploads/2026/02/Jersey-Womens-History-Month-w-sox.jpg,1,.CWS White Sox special Women’s History Month Limited Edition Jersey,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Men,,M,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Men,,L,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Men,,XL,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Men,,2XL,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Men,,3XL,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Men,,4XL,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Men,,5XL,,,NT100326TT-BJ1-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Women,,S,,,NT100326TT-BJ1-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
.cws-white-sox-special-women’s-history-month-limited-edition-jersey,,,,,,,,,Women,,M,,,NT100326TT-BJ1-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,.CWS White Sox special Women’s History Month Limited Edition Jersey,,,,new,FALSE,,,,,,,lb,,
